0,1,2
5,2025-07-17,장마 롯데월드 눈치게임 좋았습니다
5,2025-07-09,어린이+성인 표 잘 사용하고왔습니다.
5,2025-07-07,주차 편리하고 눈치 게임 성공해서 나름 별로 안 기다리고 남자친구랑 너무 좋은 시간 보냈습니다🥰
3,2025-07-07,자녀와 대중교통으로 다녀오기 좋아요
5,2025-07-05,큐알코드 보여주면 바로 입장 가능해서 좋았습니다:)
5,2025-07-04,바로 사용 완전 편해요
5,2025-07-03,"롯데월드는 가족과 자주 방문합니다.
항상 즐겁게 보내요."
4,2025-07-01,입장 바로 가능하고 할인된 가격으로 이용할 수 있음
5,2025-07-01,쾌적하고 유쾌하고 즐거운 시간이었습니다.
5,2025-07-01,좋았어요 다음에 또갈게요
5,2025-06-30,아이와 즐거운 시간이었습니다.
5,2025-06-22,.
5,2025-06-21,입장이 큐알코드라서 너무 쉽게 편하게 입장 할 수 있어요^^ 감사 땡큐 합니다!!
5,2025-06-21,아이들이랑 좋은시간 보냈습니다
5,2025-06-14,당일 사용이 가능해서 편리해여
5,2025-06-12,재밌게 놀고왔어요 많이
5,2025-06-12,"당일 예약해서 빠르게 다녀왔어요
평일 오후 사람도 없고 한산해서 좋네요"
5,2025-06-04,좋아요 좋아요 좋아요 좋아요
5,2025-06-03,"방문하기 편리했고
qr찍고 바로 입장 가능했어요
평일에 가서 재미있게 잘 놀다 왔네요!"
5,2025-06-03,너무 재밌게 놀았음 ㅎ
5,2025-06-02,2인권 가성비 있게 구매해서 좋았어요
5,2025-06-02,매표소보다 훨씬 저렴한데 바로 입장 가능해서 좋았어요
5,2025-06-02,너무 좋게 싸게갔어요 ㅋㅋ 다음에 어디가게되면 또이용할게요 감사합니다^^
5,2025-06-01,좋은 경험이었습니다.
5,2025-06-01,큐앙로 바로 입장할 수 있어서 편리해요
5,2025-05-30,설명 그대로입니다. 만족해요
5,2025-05-26,너무 편하게 쉽게 입장했어요
5,2025-05-25,"제휴 카드가 없을시, 저렴하게 구입하여 놀다 왔네요. 좋아요"
5,2025-05-25,포켓몬스터 특집 잘 꾸며져있고 볼거리 많고 즐길거리 많음
5,2025-05-22,익스트림을 좋아한다면 후렌치 레볼루션을 놓치지 마세요~
5,2025-05-22,잘다녀왔습니다 감사합니다
5,2025-05-21,롯데월드 자유이용권은 마이리얼트리입!
4,2025-05-20,잼있었어요 아기 생일이라 갔는데 바로 입장이라 편했어요😀
5,2025-05-19,아이랑 놀기에 좋았어요 대기도 길지 않았어요
5,2025-05-19,좋은 가격에 재미있게 즐겼습니다!
5,2025-05-18,즐거운 하루 보냈어요
5,2025-05-18,싸고 짱짱 좋아요ㅛㅛㅛ
5,2025-05-17,"좋았습니다.
아"
5,2025-05-14,"바로 입장가능해서 편리하구요 정가보다 할인되어서 좋았어요~~
공연이라던지 놀이기구도 좋았어요~
먹을거라던지 편의시설두요~^^
또 방문 하고싶어요~"
5,2025-05-12,....   .
5,2025-05-12,다양한 놀이기구를탔다
5,2025-05-11,…………………………
4,2025-05-11,즐거운 시간 보냄
5,2025-05-10,굿둣둣굿둣둣굿굿굿굿
5,2025-05-10,확인절차까지 간편해서 좋았다
5,2025-05-10,굿 제휴카두 없어서 앞에서 급하게 결제했는데 바로 입장 가능합니다
5,2025-05-09,잘 사용했습니다 ㅎㅎ급하게
5,2025-05-07,어린이도 아닌데 어린이날에 잘 즐겼습니다 최고링
5,2025-05-07,"저렴하고, 간편한 구매 좋아요:)"
5,2025-05-05,주차 사전정산은 큐알코드화면에서 정산하기 누르면 됩니다^^
5,2025-05-05,지하철에서 롯데월드 가기가 좀 햇갈리는 부분이 있음. 지상으로 가면 더쉬움.
5,2025-05-05,잘다녀왔어요 다음에도 이용할께요
5,2025-05-05,"입장이 쉬웠어요.
따로 발권 없이 입구에서 qr코드만 읽으면 바로 입장 가능했습니다."
5,2025-05-03,좋아요~~~~~~~~~
5,2025-05-03,"저는 롯데쇼핑 임직원 일 당시에 카드 전월 실적 20만원채웠고 본인만 60% 할인 된다고 해서 오후 16시 이후에 들어갔습니다
같이간 지인을 위해 해당 이용권을 구매 후 같이 방문하였는데요 정말 바로 구매후 당일날 사용을 했는데, 이상없이 잘 완료가되었었고인지 원가 20,800원 보다는 좀 비싸긴 하지만 일반인들에게는 너무 괜찮은 가격대라고 생각합니다.
첫 구매에는 추가로 할인을 해줘서 더 좋았고, 두 번째 구매 때는 삼만 5000원 대 이용을 해 볼 수 있겠지만 그래도 만족하는혜택이었습니다."
5,2025-05-03,그전애는 카드할인 밖에 완전좋아요
5,2025-05-03,"인기많은건 줄이 너무 길어서 타지는 못했지만
밖에서 줄서서 기다리는 놀이기구는 더운날엔 좀 힘들어서 썬크림 잘 바르고 선글라스 챙겨가면 더 좋을것같아요
가격이 싼건 아니지만 볼것도많고 사진찍을수있는 곳도 많아서
합리적인 가격이라고 생각하긴 해요"
5,2025-05-03,큐알코드만 찍으면 입장이 바로 가능해서 좋았습니다
5,2025-05-03,저렴하게 잘 다녀왔습니다 ~^^
4,2025-05-03,아가가 즐거워해서 좋았어요.
5,2025-05-02,놀이기구 타기 신나요
5,2025-04-30,매우 재밌었습니다 줄이길어요
5,2025-04-30,재밌었어요~~~~~~
5,2025-04-30,즐겁게 잘 다녀 왔습니다
5,2025-04-30,좋습니다감사합니다 잼있게 놀았너요
5,2025-04-29,"오랜만에가도 재미있는 롯데월드
평일이라 사람없어서 좋았음!"
5,2025-04-29,예약하기 쉽고 바로 사용가능해서 좋습니다!
5,2025-04-29,좋아요!!!!!!!
5,2025-04-29,바로 큐알코드 찍어서 좋앗음
5,2025-04-28,bhc 겁나 꿀맛 최고
5,2025-04-28,탑승 숫자가 적은 놀이기구는 매직패스에 주의하십시오
5,2025-04-28,좋은 경험 행복한 추억
5,2025-04-27,롯데월드롯데월드푸키몬롯데월드
5,2025-04-26,"바로 구입, 바로 사용...
아주 편하고 좋았습니다..."
5,2025-04-25,덕분에 저렴한 가격에 다녀왔습니다 😆
5,2025-04-25,친규들이랑 잘 놀고왓습니다
5,2025-04-23,조아요!!!!!!!!
5,2025-04-23,오랜만에 즐거웠어요.
4,2025-04-22,아이와 놀이동산 방문
5,2025-04-22,그냥 넘 재밌어요!0
5,2025-04-20,빠르게 입장할 수 있어서 좋았어요
5,2025-04-17,처음시켰는데 잘 받았어요
3,2025-04-17,n n n n n n
5,2025-04-14,사용하기 편했습니다
5,2025-04-14,좋았어요 다음에 또 오고싶어요
5,2025-04-12,재미있게 놀다 왔어요^^
5,2025-04-07,일정 불확실 해소
5,2025-04-03,싸고 좋게 여자친구하고 데이트했습니다🥳🥳
5,2025-04-02,블로그 검색으로 최대할인
5,2025-03-30,너무 좋은경험 하고 돌아갔습니다!
5,2025-03-30,저렴하게 다녀왔습니다!
5,2025-03-27,바로 사용 가능해서 좋았어요
5,2025-03-26,"재미있었어요
평일 오후에 방문해서 어트랙션 5개 타고 왔습니다"
5,2025-03-23,"하나카드 할인, 기타할인 적용 했을 때보다 더 저렴해서 구매했어요. 구매 후 바로 사용가능해서 좋았습니다."
5,2025-03-23,놀이공원은 역시 롯데월드
5,2025-03-22,"바로 입장했어요~
싸게 잘 다녀왔어요"
5,2025-03-20,방문하기 편하고 간단해서 좋았습니다.
5,2025-03-17,즉석에서 바로 사서 입장할 수 있어서 좋았다.
5,2025-03-17,딸아이 사줬는데 재미나게 사용하고 왔어요
5,2025-03-16,가격괜찬쿠 바로사용가느으
5,2025-03-16,바로 들어갈 수 있어서 너무 좋았습니다
4,2025-03-13,좋습니다 또갈게요 ㅎㅎ
3,2025-03-11,좋아요잘놀다갑니다
5,2025-03-10,"재밋어여
!!!!!!"
5,2025-03-09,너무 좋았어요~저렴해요~
5,2025-03-07,바로 입장 가능해서 좋아요
5,2025-03-07,정말 편리하게 잘 사용했습니다
5,2025-03-07,좋아요 싸게 잘 갔다왔어요
5,2025-03-07,정말 편해요 마이리얼트립 최고!!
5,2025-03-06,최저가로 사용할 수 있어서 좋았어요
4,2025-03-04,바이킹이나 후렌치레볼루션 같은 몇 몇 라이드는 키오스크에서 장해진 시간에 사전 예약을 해야해서 이용하기가 더 복잡...
5,2025-03-04,구매후 바로 사용가능해서 좋고 타사이트 비교시 제일 저렴했어요
5,2025-03-04,말 그대로 롯데월드
5,2025-03-03,덕분에 편하게 다녀 왔어요
5,2025-03-03,좋습니다 헤헤~~~~
5,2025-03-03,역시 믿고 예역하는 마이리얼트립
5,2025-03-03,"당일 갑자기 아이가 친구들과 간다고해서 바로 구입해줬어요.
큐알로 바로 입장할수있어서 편하고, 좋아요."
3,2025-03-03,"롯데월드 좋죠..
하지만 사람이 너무 많네요..."
5,2025-03-03,편리하게 잘 이용하고 주차도 웹에서 편리하게 정산했습니다.
5,2025-03-03,"가장 저렴한 서이트인거 같아요.
잘 구매해서 즐겁게 놀았아요~"
5,2025-03-02,좋았어요 재구매의사있음
5,2025-03-02,다른 어플에 비해 싸게 구입한것같아요
4,2025-02-28,잘사용하고있습니당^^
5,2025-02-28,놀기 좋으나 매직패스를 유도하는 대기줄… 평일인데도 방학이라 그런지 사람이 많네요~
5,2025-02-27,"평일 아틀란티스
2시간 기다려서 탈 수 있어요ㅠ"
5,2025-02-27,방학이라서 갔는데 여전히 사람 많은 롯데월드~
5,2025-02-26,바로 입장 가능하여 편리하게 사용하였어요~
5,2025-02-25,바로 사용가능 아이가ㅜ넘 좋았어요
5,2025-02-25,하루 즐겁게 잘 놀다 왔습니다.
3,2025-02-25,월요일인데요 사람 겁나많음 ㅎㅎ 다시는 안갈듯요
5,2025-02-24,재밌게 잘 놀았어용 놀이기구도 많이 타고 좋았습미다
5,2025-02-23,"쿠폰 결제가 되는건 좋았는데 청소년 요금이 따로 결제가 안되는건 조금 아쉬웠어요 그래도 간편하고 원가보다 더 싸게 구매해서 친구랑 재밌게 잘 다녀왔습니다. 아이폰 기준 문자로 오는 링크 누르면 바로 사파리로 연결돼서 빠르게 큐알도 찍을 수 있어서 편하게
입장했어요 감사합니다:)"
5,2025-02-23,굿 정말 재미있게 놀다왔어요.
5,2025-02-19,좋은 가격에 가족들과 함께 즐거운 시간이었습니다
5,2025-02-18,︎︎︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎
5,2025-02-18,사용하기편해요 문자로 qr코드전송되요
5,2025-02-18,싸게 잘구매한것 같습니다.
5,2025-02-17,할인이율 가장 좋았고 예약과 사용이 편리한점이 좋았습니다 !
5,2025-02-17,즉흥적으로가고싶을때꼭사용하네요ᆢ편하고좋아요
5,2025-02-17,저렴한가격에이요할수 있어서 좋았고 아이들과 재밋었어요
5,2025-02-16,다 좋았습니다 베리굿
5,2025-02-15,너무너무너무 쪼아용
5,2025-02-13,재미있어요~~좋았어요
5,2025-02-12,바로 사용이 가능해서 편리하네요
5,2025-02-12,잘 다녀왔어요~~~
5,2025-02-10,딸이 친구들과 놀러간다고 해서 저렴한 금액 찾다가 구입하게 됐어요. 공유하기도 편하고 금액도 저렴하게 잘 구입한 것 같아요^^
5,2025-02-10,"가격도 저렴하고 해서 대만족하며  즐겁고 신나게 즐기고 왔어요 ^^~^^다음에도 구매 확정하고 싶어요
감사합니다"
5,2025-02-10,잠실에 사람많은 놀이공원
5,2025-02-09,덕준에 저렴하고 슈ㅣㅂ게 잘 다녀왔습니다 감사합니다
5,2025-02-08,저렴하게 이용할 수 있어서 좋았습니다
5,2025-02-08,"아닙나다
ㅋㅋㅋㅋㅋㅋㅋㅋ"
5,2025-02-08,결제하고 입장하기 편리했어요
5,2025-02-08,평일이지만 사람 많더라구요
5,2025-02-08,바로 도착해서 좋아요
5,2025-02-08,처음에 대기 줄이 엄청 길길래 아……..몇시간은 기다려야겠다ㅠㅠㅠㅠ햇는데 엇….2분만에 입장햇습니다…. 4시에 입장해서 8시반에 나왓는데 인기놀이기구 3개나탓구 만족햇어여 주말에 갓는데도 이정도면 이번처럼 다른곳에서 놀다가 롯데월드 가는게 조을것갘아요
5,2025-02-07,저렴하게 편히 이용했습니다.
5,2025-02-06,"겨울에는
롯데월드가 최고"
5,2025-02-06,언제나 롯데월드 즐거워요
5,2025-02-06,동생이누친구들이랑 간다해서 사줬어요 재밌게 잘다녀왔대요
5,2025-02-05,"저렴한 가격에 잘 구매해서 다녀왔습니다. 방문일 하루 전에
발권했는데 잘 이용했어요."
5,2025-02-03,이용하기 편해서 잘 이용했습니다. 감사합니다.
5,2025-02-03,"특별히 없었어요~
잘 다녀왔습니다~~"
5,2025-02-02,현장에서 구매하는것보다 저렴했어요
5,2025-02-01,좋았습니다 저렴하게 이용했어요
4,2025-02-01,구매후 이용이 편리해서 좋아요
5,2025-02-01,"오픈런하시고 놀이기구 위치 파악후 바로 줄 서는 동선 알아가세요
대기가 어마어마합니다"
5,2025-02-01,Very very nice
5,2025-01-31,"넘 재밌게 잘
즐기다 왔습니다"
5,2025-01-31,좋아용.
5,2025-01-30,편하고 너무 좋았어요. 제일 저렴합니다.
5,2025-01-29,"예약확정이 빨라서 바로 이용할 수 있었습니다.
감사합니다!"
5,2025-01-29,좋았어요재밌어욯ㅎㅎ
5,2025-01-29,사용하기 편해요 잘다녀왔습니다
5,2025-01-29,저렴하고 입장할때 qr만 보여주면 노룩입장이어서 정말 편했습니다
5,2025-01-28,친절하게 안내해주셔서 좋았어요 옷도 깔끔해요!
5,2025-01-28,바로 입장이 가능해서 좋앗습니다
5,2025-01-27,게이트에서 바로 입장되서 좋았습니다.
5,2025-01-27,딸아이와 즐거운 추억 안고가요
5,2025-01-27,재밌게 잘놀았습니ㅏㄷ. 감사합니ㅏㄷ.
5,2025-01-27,매우 편리했습니다.
5,2025-01-27,의외로 일요일이 사람이 적어 놀기 좋았어요.
5,2025-01-24,바로 입장 가능해서 가격도 저렴해용
4,2025-01-23,재밌었습니다. 또 갈 것 같아요.
5,2025-01-22,바로 입장 가능해서 좋았어용
5,2025-01-22,발권이 빨라서 좋습니다
5,2025-01-21,바로입장가능하고즐겁게놀다왔어요
5,2025-01-21,간단하게.입장 가능하여 좋았습니다
5,2025-01-20,동생 예매해 주었는데 재미있게 다녀온 것 같아요~
5,2025-01-19,토스할인까지해서 최대할인받았네요.  마이리얼트립이 제일저렴하드라구요.
5,2025-01-19,하하하하하하 하하하하하하
5,2025-01-18,굿 잼있었어요 아이들이 좋아해요
5,2025-01-18,당일 사용가능해서 편하고 즐겁게 잘 놀다 왔어요^^
5,2025-01-17,남자친구와 함께 다녀왔는데 방학임에도 불구하고 추운날씨여서 그런지 사람이 적어서 신나게 놀고왔어요`⎚⩊⎚´ -✧
5,2025-01-16,편하게 입장권 살수 있었습니다
5,2025-01-14,너무너무재밌어요~~사용이편해요
5,2025-01-13,주말이용임에도 불구하고 붐비지않았어요..인기 어트렉션외엔 쉽게이용가능했어요~
5,2025-01-12,아이들 맨앞에 줄서서 잘놀았습니다
5,2025-01-11,좋은 경험이였습니다
5,2025-01-11,
5,2025-01-11,덕분에 좋은가격에 가족들과 잘놈
5,2025-01-10,매우만족합니다 재미있게 놀음
5,2025-01-09,"바로 입장가능
간편함
제일 싼가격"
5,2025-01-08,간편하게 사용했어요
5,2025-01-07,가격이 저렴해서 좋았습니다
5,2025-01-06,아이랑 이용했어요 바로 입장 가능해서 좋아요
5,2025-01-06,좋았습니다. 간편했어요
5,2025-01-05,"굉장히좋았습니다재미있네요,"
5,2025-01-05,아라나아자아자아아난아아
5,2025-01-05,좋아요 아기가 너무 좋아햇어요
5,2025-01-03,바로 입장 가능해서 좋았어요
5,2025-01-03,매표소에서 기다리지 않고 바로 들어갈 수 있어서 좋았네요!
5,2025-01-01,좋은 데이트 였습니당
5,2024-12-27,놀러가기 굉장히 좋았어요.
3,2024-12-27,"최근의 놀이동산은 대부분의 어트랙션을 예약제로 운영하며, 적절하게 매직패스등을 사용해야 합니다. 롯데월드 앱을 설치해야 하며 이 상품권을 쓰기 불편했습니다."
5,2024-12-27,바로 입장가능하고 구매 및 사용까지 편리했습니다^^
5,2024-12-27,"너무 좋아요 ㅎ
아들이 편하게 잘 놀러가요.
착한 가격에 감사합니다.~♥"
5,2024-12-27,딸 아이랑친구랑 저렴한가격에 구입잘해서. 잘사용하고 잼나게 놀다왔네요
5,2024-12-27,롯데 앱 보다는 저렴하게 구입잘했고  딸 아이가 잘 사용했네요
5,2024-12-27,링크들어가서 사진만 보여주면 됩니다 엄청 편해요
5,2024-12-25,편하게 예매해서 다녀올 수 있었어요
5,2024-12-24,즐거운 시간 보냈습니다
5,2024-12-24,제일 저렴하게  입장권 구입했어요
5,2024-12-23,"여기서 예약하고 가니 아주 편리하네요.
즐겁게 이용 잘 했습니다!"
5,2024-12-23,저렴하게 구매해서 잘 다녀왔습니다! 당일 사용도 가능해서 좋았어요 다음에 또 이용할게요!
5,2024-12-22,"금요일 연차쓰고 방문하였어요
생각보다 대기시간이 길지 않았고
크리스마스라 볼거리 놀거리가 많아서 좋아요 또 12월20일 저녁때쯤 눈이 내려서 더 기분이좋았어요 최고에요 ~^^♡"
5,2024-12-22,감사합니다 즐거웠습니다
5,2024-12-18,즉시 사용할 수 있는 점이 너무 좋네요.
5,2024-12-16,쿠폰 발급도 빠르고 좋았습니다
5,2024-12-16,퍼레이드 보기 위해 방문하였는데 만족스러웠습니다
5,2024-12-15,오랜만에 아들과 데이트♡
5,2024-12-15,좋았습니다 ~~~~
3,2024-12-14,없음 .사람 겁나 많음
4,2024-12-09,예약과 위치 아주 맘에 들었습니다
5,2024-12-09,문자로 qr이 온다는 것을 꼭 기억하고 확인하기! :)
5,2024-12-09,좋은 가격으로 잘 놀았어요
5,2024-12-09,7시에 들어가서 아틀란티스랑 신밧드의모험 두개 탔어요. 아틀란티스 줄이 길어서 더 많이는 못 탔습니다. 즐거운 시간이었습니다!
5,2024-12-07,넘 좋았슺니다!!!!
5,2024-12-06,출발하기 한시간전 구입하서 출발했고 어려움 없이 들어가서 이용했어용 좋아요
5,2024-12-06,사용편하고 가격 만족입니다. 전화 문의도 친절하게 답변해주셨습니다.
5,2024-12-05,딸아이가 즐겁게 놀고왔대요
5,2024-12-03,가성비 있는 가격으로 즐거운 여행 즐길 수 있었습니다!
5,2024-12-03,"싸게 구입했고 큐알도 카톡 메일로 바로 오고
수능 전날이라 약간 빡셌지만 너무 재밌었음"
5,2024-12-02,큐알 설명 잘 해줬으면 좋겠어요
5,2024-11-30,표를 미리 예매하지 못해서 난감했는데 다른 사이트보다 비교적 싸게 구입할 수 있어서 좋았다
5,2024-11-29,.잘즐기고갑니다~~
5,2024-11-28,가격도 합리적이고 바로 사용 가능해서 좋아요
5,2024-11-27,"평일 저녁에도 사람이 많았지만, 식당이나 카페들은 웨이팅 없이 좋았어요! 민속박물관까지 알찬구성으로 저녁 퍼레이드까지 잘 즐기고 왔습니다👍🏻"
5,2024-11-26,편하게 qr입장했습니다
1,2024-11-25,사람너무많아서 타는게 불가능
5,2024-11-24,야무지네욯ㅎㅎㅎㅎㅎ
5,2024-11-24,"놀이기구타기, 퍼레이드 보기"
5,2024-11-21,..........
5,2024-11-19,바로 입장 가능해서 좋아요
5,2024-11-10,좋은가격에 잘 구매했어요
5,2024-11-09,7-10 생긴지 몰랐는데 잘 썼습니다. 퍼레이드랑 공연만보고 나와어요 흐흐
4,2024-11-04,저렴한 가격으로 잘 다녀왔습니다. 특히 기간안에 사용안할시 환불가능이 넘 좋았어요. 잘 사용하긴했지만 기분이란게 다른거 같더라구요. 일단 취소가능이 좋았고 실제 잘 다녀와서 알찬시간 보낼수 있어 좋았습니다. 재구매의사 100%입니다 ㅋ
5,2024-11-04,행복한 하루를 보냈어요
5,2024-11-04,굿굿이에요 쪼 이용할게요
5,2024-11-04,아이가 시험 끝나고 친구들이랑 가서 재밌게 놀고왔어요^^ 다음달에 또 간다니 또 이용할게요^^
4,2024-10-30,딸이간다해서 구매해줬어요 바로 쓸수있어편한듯요
5,2024-10-26,좋은 좋은 좋은 좋은
5,2024-10-25,저렴하게 이용했습니다
5,2024-10-22,오후에 급하게 해서 갔는데 짧은시간 잘놀수 있어서 좋아오
5,2024-10-21,오랜만에 롯데월드 저렴하게 다녀올 수 있었습니다
5,2024-10-21,덕분에 재미있게 잘 놀았습니다.
5,2024-10-18,"쉽게 입장 가능했고, 비싸지 않은 가격에 이용할 수 있었습니다"
5,2024-10-15,예약 시 문자로 링크 발송되는데 링크 접속 시 QR로 바로 입장 가능해요 편리합니다
5,2024-10-14,굳굳 재밌습니다 역시 롯월
5,2024-10-13,서울에 있어서 가기도 좋고 데이트로 굿입니다ㅎㅎㅎ
5,2024-10-13,싱글라이더 이용을 할 수 있어 아이가 효율적으로 기구를 탑승할 수 있었음
5,2024-10-10,연인과 행복한 시간 보냈습니다
3,2024-10-09,"앞으론 종일권 끊고 가야겠어요ㅠ
반일권은 시간이 촉박함ㅠ
민속박물관은 일찍 문닫아서
박물관 먼저 가는걸 추천"
5,2024-10-06,행복하게 가족들이랑 놀았어요
5,2024-10-06,아이가 친구들과 재미있게 놀고 왔어요.
5,2024-10-03,"딸아이랑 잘다녀왔어요~
덕분에 좋은 추억남겼네요~*^^*"
